word,phonetic,translation
shithead,'ʃɪthed,n. 笨蛋
shithouse,," 廁所；衛生間"
shitless,'ʃitlis,"adv. 極度,非常"
shitter,'ʃitə,n. 廁所；坐桶；[美國英語]馬
shitty,'ʃiti,"劣等的, 較差的"
shiv,ʃiv,"n. 刀, 剃刀"
shiva,'ʃi:vә,n. 七日服喪期
shiver,'ʃivә,"vi. 顫抖, 哆嗦, 被打碎\nvt. 使迎風飄動, 粉碎\nn. 戰慄, 碎塊"
shivering,'ʃivәriŋ,"n. 發抖, 打碎\n[醫] 戰慄"
shivery,'ʃivәri,"a. 顫抖的, 令人悚然的, 寒冷的, 易碎的"
shoals,ʃəʊlz,n. 淺灘( shoal的名詞複數 ); 沙洲; 魚群; 大量
shoat,ʃәut,n. 小豬
shock,ʃɒk,"n. 震動, 衝突, 震驚, 衝擊, 突擊, 禾束堆, 休克, 長毛狗\nvt. 使震動, 使休克, 使受電擊, 震驚得\nvi. 震動, 嚇人\na. 蓬亂濃密的"
shocked,ʃɔkt,a. 震撼的；震驚的
shocker,'ʃɔkә,"n. 令人震驚的東西, 令人震驚的人, 令人憤慨的人, 令人厭惡的人"
shocking,'ʃɒkiŋ,"a. 令人震驚的, 極壞的, 不正當的"
shockingly,,"adv. 令人震驚地, 極糟地, 極度地, 極厲害地"
shockwave,,n. 震蕩波；爆震波；衝擊波
shoddily,'ʃɔdili,adv. 惡劣地
shoddiness,'ʃɔdinis,n. 劣質；粗製濫造
shoddy,'ʃɒdi,"a. 用長彈毛做的, 以次充好的\nn. 長彈毛, 軟再生毛, 贗品"
shoe,ʃu:,"n. 鞋, 靴, 外胎\nvt. 給...穿鞋, 為馬釘蹄鐵"
shoebox,ˈʃu:bɒks," 鞋盒"
shoehorn,'ʃu:hɒ:n,n. 鞋拔\nvt. 硬塞進
shoelace,'ʃu:leis,n. 鞋帶
shoeless,'ʃu:lis,"a. 不穿鞋的, 赤腳的, 沒有鞋的"
shoemaker,'ʃu:.meikә,"n. 鞋店營業員, 皮鞋匠"
shoeshine,'ʃu:ʃain,"n. 擦亮的皮鞋面, 擦皮鞋"
shoestring,'ʃu:striŋ,"n. 鞋帶, 小額資本"
shofar,'ʃәufɑ:,n. 羊角號
shogun,"'ʃәu,^u:n",n. 幕府時代的將軍
shoji,'ʃәudʒi:,"n. 障子（本房屋用的紙糊木框, 等於shoji screen）"
shoo,ʃu:,interj. 噓(趕鳥時所發聲音)\nv. 發出噓聲趕
shoot,ʃu:t,"n. 射擊, 狩獵, 芽, 射傷, 發射, 發芽, 急流, 推力, 攝影, 急送, 滑運道, 浪費\nvt. 射擊, 射中, 損毀, 拍攝, 噴出, 投射, 揮出, 飛速行進, 揮霍, 給...注射\nvi. 射出, 射擊, 發出, 拍電影, 射門, 發芽"
shootaround,,n. 投籃訓練
shooter,'ʃu:tә,"n. 射手, 狩獵者, 手槍"
shooting,'ʃu:tiŋ,"n. 發射, 獵場, 射擊"
shootout,'ʃʊtɚʊt," 交火; 點球大戰; 槍戰"
shop,ʃɒp,"n. 商店, 工廠, 車間\nvi. 購物, 到處尋找\nvt. 選購"
shopaholic,ˌʃɒpəˈhɒlɪk,n. 購物狂
shopgirl,'ʃɒpgә:l,n. 女店員
shopkeeper,'ʃɒp.ki:pә,"n. 零售商, 店主, 老闆"
shoplift,,vi.vt. 入店偷竊商品
shoplifter,'ʃɒp.liftә,n. 商店扒手
shoplifting,'ʃɒp.liftiŋ,n. 入店行竊\n[法] 冒充顧客進入商店行竊
shoppe,ʃɔp,"n. 商店,專櫃"
shopper,'ʃɒpә,"n. 購物者\n[經] 顧客, 購物的人"
shopping,'ʃɒpiŋ,"n. 買東西, 購物\n[經] 購物, 買東西"
shopworn,'ʃɒpwә:n,a. 陳舊的
shore,ʃɒ:,"n. 海岸, 海濱, 斜撐柱\nvt. 把...送上岸, 支撐, 支持"
shorebird,'ʃɔ:bɜ:d,"n. [鳥類]岸禽類鳥；沙禽, 水鳥（尤指鴴目類鳥）"
shorefront,'ʃɔ:frʌnt,n. (海邊、河邊、湖邊等的)沿岸陸地
shoreline,'ʃɒ:lain,n. 海岸線
shoreward,'ʃɒ:wәd,"adv. 向岸, 朝岸, 朝向陸地\na. 向岸的"
shorn,ʃɔ:n,shear的過去分詞
short,ʃɒ:t,"a. 短的, 近的, 矮的, 短期的, 簡短的, 少量的\nadv. 簡短地, 突然\nn. 扼要, 短片, 缺乏\nvt. 故意少給, 使短路"
shortage,'ʃɒ:tidʒ,"n. 不足, 缺乏\n[化] 缺額"
shortbread,'ʃɒ:tbred,n. 白脫甜酥餅
shortcake,,"n. (英)厚的奶油酥餅, (美)脆餅, 水果松糕, 鬆餅"
shortcoming,'ʃɒ:t'kʌmiŋ,"n. 缺點, 短處"
shortcut,'ʃɒ:tkʌt,"n. 捷徑, 最短路線\n[計] 快捷方式"
shorten,'ʃɒ:tn,"vt. 弄短, 縮短, 減少\nvi. 縮小, 變短"
shortened,ˈʃɔ:tnd,"v. 弄短, 縮短( shorten的過去式和過去分詞 )"
shortening,'ʃɔ:tniŋ,"n. 縮短, 使糕餅鬆脆的油\n[化] 起酥油"
shortfall,'ʃɒ:tfɒ:l,"n. 不足, 不足量\n[經] 缺少, 不足, 虧艙運費"
shortgrass,'ʃɔ:t^rɑ:s; -^ræs,"n. 矮草,短禾草"
shorthand,'ʃɒ:thænd,"n. 速記\n[法] 速記法, 速記, 記錄文字"
shortish,'ʃɒ:tiʃ,a. 相當短的
shortlist,'ʃɔ:tlist,n. 供最後挑選(或考慮)用的候選人名單
shortly,'ʃɒ:tli,"adv. 不久, 簡短, 唐突地"
shortness,'ʃɒ:tnis,"n. 短小, 簡略, 不足\n[化] 脆性; 藍脆性; 冷脆性"
shorts,ʃɔ:ts,"n. 短褲, (美)男人的短襯褲\n[經] 空頭戶, 空頭, 短期債券"
shortsightedness,,[醫] 近視
shortstop,'ʃɒ:tstɒp,"n. 游擊手, 停顯液"
shortwave,'ʃɒ:tweiv,n. 短波\nvt. 用短波發射
shorty,'ʃɒ:ti,"n. 矮個子, 特別短的東西"
shot,ʃɒt,"n. 發射, 炮彈, 射擊, 射手, 投籃, 射門, 子彈, 射程, 拍攝, 注射\nvt. 裝彈, 使成顆粒狀\na. 雜色的, 交織着的, 滲透的, 點焊的, 破舊的\nshoot的過去式和過去分詞"
shotgun,'ʃɒtgʌn,"n. 散彈獵槍, 媒人\nv. 用獵槍射擊"
shotshell,," [體]散彈槍彈"
should,ʃud,"aux. 應該, 將要"
shoulder,'ʃәuldә,"n. 肩, 肩膀, 衣肩\nvt. 肩負, 負擔, 擔任\nvi. 用肩推擠"
shouldered,'ʃәuldәd,a. 帶凸肩的；肩膀…的（用以構成複合詞）
shout,ʃaut,"n. 呼喊, 喊聲\nvi. 呼喊, 喊叫, 嚷\nvt. 高喊"
shouted,'ʃaʊtɪd,"v. 呼, 喊, 叫( shout的過去式和過去分詞 ); 大聲講"
shouter,,"n. 高呼者, 喊叫者"
shouting,'ʃajtiŋ,"n. 呼喊, 喊話"
shove,ʃʌv,"n. 推, 擠\nvt. 推擠, 猛推, 強使\nvi. 推"
shovel,'ʃʌvl,"n. 鏟, 鐵鏟\nv. 鏟"
shoveled,,"vt. 鏟, 剷出（shovel的過去式與過去分詞形式）"
shoveler,'ʃʌvəlә(r),"n. 用鏟者, 挖土機駕駛員"
shovelful,'ʃʌvəlfjl,"n. 滿鏟, 一鏟的量"
shoving,,"v. 推開, 擠漿（shove的ing形式）"
show,ʃәu,"n. 顯示, 表現, 展覽, 賣弄, 炫耀, 外觀, 演出, 洋相\nvt. 表示, 顯示, 展現, 陳列, 演出, 表明, 指出, 帶領\nvi. 露面, 顯現, 演出\n[計] 顯示"
showbiz,.ʃәubiz,n. 娛樂界；娛樂性行業
showboat,'ʃәubәut,n. 演戲船
showboating,'ʃəʊbəʊt,"n. 演戲用大船, 水上巡迴舞台\nvt., vi. [口語]炫耀, 賣弄："
showcase,'ʃәukeis,"n. 陳列櫥\n[經] 商品陳列所, 貨物陳列架"
showdown,'ʃәudaun,"n. 攤牌, 暴露, 緊要關頭"
shower,'ʃauә,"n. 陣雨, 淋浴, 一陣, 展出者, 顯示者\nvi. 淋浴, 下陣雨\nvt. 淋濕, 傾注"
showerhead,'ʃaʊəhed,"n. 淋噴頭, 蓮蓬頭"
showering,ˈʃauərɪŋ,v. 下陣雨( shower的現在分詞 ); 似陣雨般降落; 灑落; 紛紛降落
showgirl,'ʃәj^\\\\:l,n. 廣告女郎；歌舞女郎
showier,ˈʃəʊi:ə,"a. 引人注目的( showy的比較級 ); 過分裝飾的, 太華麗的"
showiest,,"a. 引人注目的( showy的最高級 ); 過分裝飾的, 太華麗的"
showing,'ʃәuiŋ,"n. 顯示, 陳列, 展覽, 成績, 表現, 表演, 誇耀, 陳述, 敘述, 外表, 跡象"
showman,'ʃәumәn,"n. 演出主持人, 玩雜耍的人"
showmanship,'ʃәjmәnʃip,"n. 安排演出的竅門, 吸引觀眾的竅門, 經營術, 招徠生意的手腕"
showpiece,'ʃәupi:s,"n. 展出品, 樣品"
showplace,'ʃәupleis,"n. 名勝地, 劇院"
showroom,'ʃәuru:m,"n. 陳列室\n[經] 樣品間, 陳列室"
showstopper,'ʃәu.stɒpә,n. 被熱烈掌聲打斷的表演
showtime,'ʃәutaim,n. 好戲上演；（電視等的）節目播放時間
showy,'ʃәui,"a. 艷麗的, 炫耀的"
shrapnel,'ʃræpnәl,"n. 零錢, 榴霰彈, 彈片"
shred,ʃred,"n. 碎布條, 細片, 少量\nv. 撕碎"
shredded,,shred的過去式和過去分詞
shredder,'ʃredә,"n. 切菜器, 碎紙機"
shredding,,v. 撕裂（shred的ing形式）
shrew,ʃru:,"n. 潑婦\n[法] 捍婦, 潑婦"
shrewd,ʃru:d,"a. 精明的, 銳利的, 劇烈的, 機靈的, 厲害的"
shrewdly,,adv. 精明幹練地；機靈地；刁鑽地
shrewdness,ʃru:dnəs," 機靈"
shrewish,'ʃru:iʃ,"a. 潑婦一樣的, 脾氣暴躁的"
shriek,ʃri:k,"n. 尖銳的響聲\nvi. 尖叫, 發尖聲\nvt. 尖聲發出"
shrieking,ʃri:kɪŋ,v. 尖叫( shriek的現在分詞 )
shrift,ʃrift,"n. 懺悔, 臨終懺悔, 招認, 承認\n[法] 懺悔, 赦免, 臨終懺悔"
shrike,ʃraik,n. 伯勞鳥
shrill,ʃril,"n. 尖聲\na. 尖銳的, 刺耳的\nvt. 尖聲說出\nvi. 發出刺耳聲"
shrillness,ʃrɪlnəs,n. 尖銳刺耳
shrilly,'ʃrili,"adv. 尖聲地, 刺耳地"
shrimp,ʃrimp,"n. 蝦, 小蝦, 矮子\nvi. 捕小蝦"
shrimper,'ʃrɪmpə(r)," 捕蝦者[器]"
shrimping,ˈʃrɪmpɪŋ," 捕蝦"
shrine,ʃrain,"n. 聖地, 神龕, 廟\nvt. 將...置於神龕內"
shrink,ʃriŋk,"n. 收縮, 萎縮, 迴避\nvi. 收縮, 退縮, 萎縮, 縮小, 迴避\nvt. 使收縮, 使縮小"
shrinkage,'ʃriŋkidʒ,"n. 收縮, 收縮量, 減低\n[化] 起皺; 收縮; 收縮量"
shrinking,,[醫] 皺縮
shrivel,'ʃrivl,"v. (使)起皺紋, (使)枯萎, (使)束手無策"
shriveled,'ʃrɪvəld,"v. （因熱力, 嚴寒、乾燥、年老等而）枯萎, 皺縮( shrivel的過去式和過去分詞 )"
shroud,ʃraud,"n. 屍衣, 壽衣, 覆蓋物, (船的)橫桅索\nvt. 包以屍衣, 遮蔽, 隱藏, 覆蓋"
shrouded,ʃraudid,v. 隱瞞( shroud的過去式和過去分詞 ); 保密
shrub,ʃrʌb,"n. 矮樹, 灌木, 果汁甜酒"
shrubbery,'ʃrʌbәri,"n. 灌木, 灌木林"
shrubby,'ʃrʌbi,"a. 灌木的, 灌木一般的, 灌木繁茂的"
shrug,ʃrʌg,n. 聳肩\nv. 聳肩
shrunken,'ʃrʌnkәn,a. 縮小的\nshrink的過去分詞
shtetl,'ʃtetl, n.(尤指第二次世界大戰前東歐的)猶太人小村(或小鎮)
shtick,ʃtik,"n. 滑稽場面, 特色"
shuck,ʃʌk,"n. 殼, 外皮, 牡蠣殼\nv. 剝去, 脫去"
shucked,ʃʌkt,"v. 剝殼, 剝外皮, 脫去( shuck的過去式和過去分詞 )"
shucks,ʃʌks,"interj. 呸(表示不滿或失望), 那有這回事"
shudder,'ʃʌdә,"n. 戰慄, 發抖\nvi. 戰慄, 發抖"
shuddering,'ʃʌdərɪŋ,v. 戰慄( shudder的現在分詞 ); 發抖; （機器、車輛等）突然震動; 顫動
shuffle,'ʃʌfl,"n. 拖着腳走, 曳步, 混亂, 矇混, 洗紙牌\nv. 拖曳, 馬虎地做, 笨手笨腳地穿(脫)衣, 推諉, 洗牌\n[計] 混洗"
shuffleboard,'ʃʌflbɒ:d,n. 推圓盤遊戲
shuffled,ˈʃʌfəld,v. 洗（紙牌）( shuffle的過去式和過去分詞 ); 拖着腳步走; 粗心地做; 擺脫塵世的煩惱
shuffling,,"[法] 支唔的, 含混的, 可疑的:躲躲閃閃的"
shul,"ʃu:l, ʃjl", n.= synagogue
shun,ʃʌn,"vt. 避開, 規避, 避免"
shunned,ʃʌnd,"v. 避開, 迴避, 避免( shun的過去式和過去分詞 )"
shunt,ʃʌnt,"vt. 使轉軌, 使分流, 迴避討論, 推延\nvi. 轉向一邊, 轉軌, 往返\nn. 轉軌, 分流"
shush,ʃʌʃ,interj. 噓\nn. 噓聲
shut,ʃʌʃ,"n. 關閉\nvt. 關上, 閉起, 幽禁, 合攏, 軋住\nvi. 關上, 停止營業"
shutdown,'ʃʌtdaun,"n. 關門, 停工, 停機\n[經] 停工"
shutoff,'ʃʌtɒ:f,"n. 關閉器(如閥、開關), 遮斷, 停止"
shutout,'ʃʌtaut,"n. 關廠, 停業, 被關在外面的人, 不讓對方得分\n[經] 退關, 閉廠, 停業"
shutter,'ʃʌtә,"n. 百葉窗, 關閉物, 照相機快門, 關閉者\nvt. 為...裝百葉窗, 以百葉窗遮閉"
shutterbug,'ʃʌtәbʌ^,"n. 攝影愛好者, 攝影迷"
shuttered,ˈʃʌtəd,a. 關上百葉窗的; 裝有百葉窗的
shuttering,'ʃʌtәriŋ,模板[殼]
shuttle,'ʃʌtl,"n. 穿梭, 梭子, 往返移動之物\nv. (使)穿梭移動, 往返運送"
shuttlecock,'ʃʌtlkɒk,"n. 羽毛球, 一來一回的事物(如爭論)\nvt. 往返遞送\nvi. 往返移動"
shy,ʃai,"n. 驚跳, 驚避\na. 膽怯的, 畏縮的, 遲疑的, 羞怯的\nvi. 驚退, 亂投, 亂擲, 厭惡, 避開\nvt. 亂投, 亂擲"
shylock,'ʃailɔk,"n. (喻)敲詐勒索的放債者, 冷酷無情的商人, 冷酷無情的人, 夏洛克"
shyly,,adv. 害羞地；羞怯地；膽怯地；小心地
shyness,'ʃainis,"n. 羞怯, 膽怯"
shyster,'ʃaistә,"n. 訟棍\n[法] 奸詐的律師, 訟棍, 不擇手段的人"
Siamese,"saiә'mi:z, 'saiә-","a. 暹羅的, 非常相似的\nn. 暹羅人, 暹羅語"
sib,sib,"a. 有血親關係的, 近親的\nn. 親族, 血親親屬, 氏族"
siberian,sai'biәriәn,a. 西伯利亞（人）的；來自西伯利亞的
sibilant,'sibilәnt,a. 噝噝作聲的\nn. 齒擦音
sibling,'sibliŋ,"n. 兄弟, 同胞\n[醫] 同胞(兄弟姐妹)"
sic,sik,adv. 原文如此
Sichuan,'si:tʃ'wɑ:n,四川(位於中國西南部、長江上游)
sicilian,"si'siljәn, -liәn",a. 西西里島的
sick,sik,"n. 病人\na. 不舒服, 有病的, 噁心的, 厭惡的, 渴望的, 病態的\nvt. 嘔吐, 追擊, 使(狗)去攻擊"
sickbay,ˈsɪkbeɪ,n. 船上的醫務室
sickbed,'sikbed,n. 病床
sicken,'sikәn,"vt. 患病, 使厭倦, 使噁心\nvi. 生病, 作嘔"
sickened,ˈsɪkənd,"v. （使）生病( sicken的過去式和過去分詞 ); 使厭惡, 使噁心"
sickening,'sikniŋ,"a. 引起疾病的, 引起嘔吐的, 令人厭惡的, 使人作嘔的"
sickeningly,'sikniŋli,adv. 令人厭惡地
sickle,sikl,n. 鐮刀
sickly,'sikli,"a. 病弱的, 令人不快的, 無精打採的\nadv. 病態地\nvt. 使現病容"
sickness,'siknis,"n. 疾病, 不健康, 嘔吐\n[醫] 病"
sicko,'sikәj,"n. 有精神病的人,道德敗壞的人"
sickroom,'sikru:m,n. 病房
side,said,"n. 旁邊, 側, 方面, 脅, 側邊, 血統\na. 旁的, 側的, 次要的\nvt. 同意, 支持\nvi. 支持, 贊助"
sideband,"'said,bænd",[電] 邊帶
sidebar,'saidbɑ:(r),"n. 其他選項,工具條"
sideboard,'saidbɒ:d,n. 餐具櫃
sideburn,ˈsaɪdbɜ:n," 鬢角"
sidecar,'saidkɑ:,n. (摩托車的)邊車
sidehill,'saidhil,"n. 山坡, 山側\na. 山坡的"
sidekick,'saidkik,"n. 夥伴, 插袋"
sidelight,'saidlait,"n. 側線, 側燈, 舷燈, 雜聞"
sideline,'saidlain,"n. 副業, 旁線, 界線, 兼職, 旁觀者看法\nvt. 使退出比賽場地"
sidelock,"'said,lɔk",n. = earlock
sidelong,'saidlɒŋ,"adv. 橫向地, 向側面, 斜着, 間接地\na. 橫的, 斜的, 間接的"
sideman,'saidmæn,n. 伴奏者
sidereal,sai'diәriәl,"a. 星的, 恆星的, 恆星引起的, 根據星球運行測定的"
sidesaddle,'saidsædl,"n. 橫鞍, 女鞍"
sideshow,'saidʃәu,"n. 雜耍, 附屬活動, 枝節問題"
sideslip,'saidslip,"n. 側滑, 私生子\nvi. 側滑"
sidestep,'saidstep,"n. 橫跨的一步, 台階\nvt. 橫跨一步躲避, 迴避\nvi. 迴避問題, 躲避打擊"
sideswipe,'saidswaip,"vt. 沿邊擦過\nn. 側擊, 間接的抨擊"
sidetrack,'saidtræk,"n. 側線, 次要地位\nvt. 轉入側軌, 轉變話題, 拖延處理"
sidetracked,ˈsaidtrækt,"a. 轉變話題的, 轉向的\nv. 導入側線, 轉移目標, 使受牽制( sidetrack的過去式和過去分詞 )"
sidewalk,'saidwɒ:k,n. 人行道
sidewall,,"n. 邊牆, 側壁, 輪胎側壁"
sideways,'saidweiz,"adv. 向旁邊, 向側面地\na. 旁邊的, 向側面的"
sidewinder,,"n. 側擊, 橫擊, (美)(非正式)保鏢, 花錢僱用的打手"
sidewise,'saidwaiz,"a. 向一邊的, 橫斜的"
siding,'saidiŋ,"n. 側線, 旁軌, 邊寬"
sidle,'saidl,"v. 橫着走, 悄悄貼近, 側身而行\nn. 側走, 挨近"
siege,si:dʒ,"n. 包圍, 圍攻, 再三的努力\nvt. 包圍, 圍攻"
sienna,si'enә,"n. 黃褐色(或赭色)顏料, 黃褐色, 赭色"
siesta,si'estә,"n. 午睡, 午休"
sieve,siv,"n. 篩子, 濾網\nvt. 篩, 濾"
sift,sift,"vt. 篩, 過濾, 撒, 詳查\nvi. 篩, 被篩下, 精選"
sifted,siftid,v. 篩( sift的過去式和過去分詞 ); 篩濾; 細查; 詳審
sifter,'siftә,"n. 篩選工, 篩子\n[醫] 篩粉機"
sifting,'siftiŋ,"n. 篩, 過濾, 篩過的東西, 濾下來的雜質, 篩下來的雜質, 濾過的東西\n[計] 篩選, 淘汰"
sigh,sai,"n. 嘆息\nvi. 嘆息, 渴望\nvt. 嘆息着說"
sighing,saiŋ,"v. 嘆氣, 嘆息( sigh的現在分詞 ); 悲鳴; 嘆着氣說; 嘆息道"
sight,sait,"n. 景觀, 視力, 眼界, 閱讀, 見解, 意見\nvt. 看見, 瞄準\nvi. 瞄準, 觀看\na. 即席的, 見票即付的"
sighted,'saitid,"a. 有視力的, 不盲的"
sighting,saitiŋ,n. 照準；瞄準；視線
sightless,'saitlis,"a. 盲的, 不可見的"
sightlessly,,看不見地
sightline,'saitlain,n. (從眼睛至所見物之間的或劇場內各處至舞台的) 視線
sightseeing,'saitsi:iŋ,"n. 觀光, 遊覽\na. 觀光的, 遊覽的"
sightseer,'saitsi:ә(r),n. 觀光客
sigil,'sidʒil,"n. 圖章, 印章, 印記, 魔符"
sigma,'si^mә,[計] 求和\n[醫] σ(希臘文第十八個字母)
sigmoid,'sigmɒid,"a. S字形的, 乙狀結腸的, C字形的\nn. 乙狀結腸"
sigmoidoscopy,,[醫] 乙狀結腸鏡檢查
sign,sain,"n. 符號, 招牌, 徵兆, 正負號, 手勢\nvt. 簽名, 打手勢表達\nvi. 簽名\n[計] 正負號; 符號; 符號字符"
signage,ˈsaɪnɪdʒ,n. 標記； 標識系統
signal,'signl,"n. 信號, 暗號, 近因, 導火線\nvt. 向...作信號, 標誌, 用信號通知\nvi. 發信號\na. 作為信號的, 顯著的\n[計] 信號"
signaling,'siɡnәliŋ,n. 發信號；打信號
signatory,'si^nәtәri,"n. 協議的簽署者, 簽約國\na. 簽署的, 簽約的"
signature,'signәtʃә,"n. 簽字, 識別標誌, 調號\n[計] 簽名附件"
signboard,'sainbɒ:d,"n. 招牌, 布告板"
signed,saind,a. 有符號的；有正負之分的；已簽字的
signer,'sainә,"n. 簽名者, 使用手勢語者"
signet,'signit,"n. 印, 圖章\nvt. 蓋章於"
significance,sig'nifikәns,"n. 重要性, 意義, 意味\n[計] 有效; 有效性"
significant,sig'nifikәnt,"a. 重要的, 有效的, 有含義的, 暗示的, 值得注意的"
significantly,,adv. 值得注目地；意味深長地
signification,.signifi'keiʃәn,"n. 含義, 意義, 表示"
signifier,ˈsɪgnɪfaɪə(r)," 信號物"
signify,'signifai,"vt. 象徵, 預示\nvi. 要緊, 重要"
signing,,"[法] 簽署, 簽字"
signora,si:'njɔ:rә,"n. 夫人, 太太, 已婚女子"
signorina,",si:njә'ri:nә","n. 未婚女子, 姑娘"
signpost,'sainpәust,"n. 招牌柱, 廣告柱, 路標"
sika,'si:kә,"n. [動](中國、日本等地產的)梅花鹿 , n.(用以懸吊籃子等的)掛繩"
sikh,si:k,n. 錫克教教徒
silage,'sailidʒ,n. 青貯飼料\nvt. 青貯
silence,'sailәns,"n. 沉默, 無聲, 靜寂, 湮沒, 無聲息\nvt. 使緘默\ninterj. 安靜"
silenced,ˈsailənst,v. 使安靜( silence的過去式和過去分詞 ); 使沉默; 壓制; （用以讓人們安靜）安靜
silencer,'sailәnsә,"n. 使沉默的人, 消音器, 消音裝置\n[化] 消聲器; 消音器"
silencing,'sailәnsiŋ,n. 沉默；消聲；噪聲抑制
silent,'sailәnt,"a. 沉默的, 安靜的, 無聲的, 靜止的\n[醫] 靜止的, 無癥狀的"
silently,'sailәntli,"adv. 默默地, 靜靜地"
Silesian,,a. 西萊亞西 的
silhouette,.silu:'et,"n. 黑色半身側面影, 影子, 輪廓, 剪影\nvt. 描繪...成側面影, 使照出影子來, 使僅僅顯出輪廓"
silhouetted,ˌsɪlu:ˈetɪd,"a. 顯出輪廓的, 顯示影像的"
silica,'silikә,"n. 硅石, 二氧化硅\n[化] 二氧化硅"
silicate,'silikit,n. 硅酸鹽\n[化] 硅酸鹽; 硅酸酯
silicon,'silikәn,n. 硅\n[化] 硅Si
silicone,'silikәun,n. 硅樹脂\n[化] 硅氧烷; 聚硅氧烷
silicosis,",sili'kәusis","n. 石末沉着病, 硅肺(磨工病), 矽肺\n[化] 矽肺"
silk,silk,"n. 絲, 綢, 綢鍛類, 絲織品\na. 絲的, 絲織的"
silken,'silkәn,"a. 絲的, 綢制的, 柔軟的, 圓滑的"
silkworm,'silkwә:m,n. 蠶
silky,'silki,"a. 絲的, 柔滑的"
sill,sil,"n. 基石, 檻, 窗檯, 岩床, 海底山脊, 梁"
silliness,'silinis,"n. 愚蠢, 糊塗"
silly,'sili,"a. 愚蠢的, 糊塗的"
silo,'sailәu,"n. 筒倉, 青貯窖\n[機] 儲倉"
silt,silt,n. 淤泥\nvt. 使淤塞\nvi. 淤塞
siltation,sɪl'teɪfən," 沉積作用, 淤積"
silting,'siltiŋ,n. 淤積；淤塞；充填
silty,'silti,"a. 淤泥的, 塞滿了淤泥的"
silver,'silvә,"n. 銀, 銀幣, 銀器\na. 銀的, 銀制的, 銀器的\nvt. 鍍銀\nvi. 變銀白色"
silverback,'silvәbæk,n. [動]銀背大猩猩(指背部頸下方有銀白色毛的雄性成年大猩猩)
silvered,'silvәd,v. 鍍銀（變成銀白色）
silverfish,'silvәfiʃ,"n. 銀色的魚, 蠹蟲"
silversides,'silvәsaidz,n. 銀河魚
silversmith,'silvәsmiθ,n. 銀(器)匠
silverware,'silvәwєә,n. 銀器
silvery,'silvәri,"a. 像銀的, 銀色的, 銀鈴一般的"
silvicultural,'sɪlvɪkʌltʃərəl,a. silviculture的變形
simian,'simiәn,"a. 類人猿的, 猴子一般的\nn. 猴子, 類人猿"
similar,'similә,"a. 相似的, 類似的\nn. 相似的東西"
similarity,.simi'læriti,"n. 類似, 類似處\n[法] 類似, 相似, 類似事例"
similarly,'similәli,"adv. 相像地, 類似於"
simile,'simili,"n. 明喻, 明喻說法"
similitude,si'militjud,"n. 相似, 外表"
simmer,'simә,"vt. 煨\nvi. 燉, 內心充滿\nn. 即將沸騰的狀態, 即將發作"
simmering,'sɪmərɪŋ,"v. 燉, 慢煮( simmer的現在分詞 ); 充滿勢將爆發的（怒氣等）"
simony,'saimәni,"n. 聖職買賣, 聖職買賣罪"
simper,'simpә,"n. 假笑, 傻笑, 痴笑\nvi. 假笑, 傻笑, 痴笑\nvt. 假笑着說"
simpering,,a. 傻笑的
simple,'simpl,"a. 簡單的, 普通的, 樸素的, 單純的, 絕對的, 初級的, 原始的, 遲鈍的\nn. 出身低微者, 傻子"
simpleton,'simpltәn,"n. 笨蛋, 傻子"
simplex,'simpleks,"a. 簡單的, 單一的\n[電] 單工"
simplicity,sim'plisiti,"n. 單純, 簡樸, 樸素, 坦率, 天真\n[計] 簡明性"
simplification,.simplifi'keiʃәn,"n. 單一化, 單純化, 簡單化"
simplified,,a. 簡化了的
simplify,'simplifai,"vt. 單一化, 簡單化"
simplifying,ˈsimplifaiŋ,"v. 使（某事物）簡單[簡明], 簡化( simplify的現在分詞 ); 單純化"
simplistic,sim'plistik,a. 過分簡單化的
simplistically, -kli,adv. （過分）簡單化地
simply,'simpli,"adv. 簡單地, 只是, 簡直, 簡樸地, 坦白地"
simulacrum,.simju'leikrәm,"n. 像, 影, 幻影"
simulate,'simjuleit,"vt. 模擬, 假裝, 模仿\n[法] 偽裝的, 模擬的; 假裝的, 偽裝的, 冒充"
simulated,,a. 模仿的\n[計] 模擬的
simulation,.simju'leiʃәn,"n. 模擬, 假冒物, 模仿\n[計] 模擬"
simulator,'simjuleitә,"n. 模擬器, 假裝者\n[計] 模擬器"
simulcast,'simәlkɑ:st,n. 同時聯播\nv. 同時聯播
simultaneity,.simәltә'ni:әti,"n. 同時發生, 同時\n[計] 同時性"
simultaneous,.simәl'teinjәs,"a. 同時的, 同時發生的\n[計] 同時的"
simultaneously,simәl'teiniәsly; (?@) saim-,"adv. 同時發生, 一齊, 同時, 同時存在"
simvastatin,sɪm'vɑ:steɪtɪn," [醫]系HMG輔酶A還原酶抑製劑, 能降低男性血漿膽固醇和減少膽固醇在動脈沉積"
sin,sin,"n. 罪, 犯罪, 過失, 失禮\nv. 犯"
since,sins,"prep. 自...以後, 自...以來\nadv. 自那時以後\nconj. 既然, 自...以後, 自...以來"
sincere,sin'siә,"a. 誠實的, 正直的, 真摯的, 純凈的"
sincerely,sin'siәli,adv. 真誠地
sincerity,sin'serәti,"n. 誠實, 真實, 誠心誠意"
sine,sain,n. 正弦\n[計] 正弦
sinecure,'saini.kjuә,n. 閑職\n[經] 領干俸的職位
